3cixty_uri,3cixty_label,dbpedia_label,dbpedia_uri,score
http://data.linkedevents.org/location/c5e5c428-0342-330e-be99-351a9c1c936f,Avenue Jean Médecin,Avenue Jean-Médecin,http://dbpedia.org/resource/Avenue_Jean_Médecin,100.0
http://data.linkedevents.org/location/998bc434-34ac-4ccd-aaf1-6d627a5b832c,Avenue Jean médecin,Avenue Jean-Médecin,http://dbpedia.org/resource/Avenue_Jean_Médecin,100.0
http://data.linkedevents.org/location/1db0128e-60f3-32ef-8241-de334d241ad8,Avenue Jean-Médecin,Avenue Jean-Médecin,http://dbpedia.org/resource/Avenue_Jean_Médecin,100.0
http://data.linkedevents.org/location/1acb1681-f68e-44d5-9935-461094849699,Aéroport de Nice-Côte d'Azur,Aéroport de Nice-Côte d'Azur,http://dbpedia.org/resource/Nice_Côte_d'Azur_Airport,100.0
http://data.linkedevents.org/location/fe4f6290-77c5-33e5-82eb-a6edf97067d6,Basilique Notre-Dame de Nice,Basilique Notre-Dame de Nice,http://dbpedia.org/resource/Notre-Dame_de_Nice,100.0
http://data.linkedevents.org/location/477208d2-9ce0-310d-b39d-e4fb4aeff229,Cantón de Saint-Laurent-du-Var-Cagnes-sur-Mer-Este,Cantón de Saint-Laurent-du-Var-Cagnes-sur-Mer-Este,http://dbpedia.org/resource/Canton_of_Saint-Laurent-du-Var-Cagnes-sur-Mer-Est,100.0
http://data.linkedevents.org/location/a540e533-b401-3a7b-9a03-5bb88d551d6a,Cantón de Villefranche-sur-Mer,Canton de Villefranche-sur-Mer,http://dbpedia.org/resource/Canton_of_Villefranche-sur-Mer,100.0
http://data.linkedevents.org/location/4f65536a-760a-3393-bc68-fdaf230c5c85,Castle of Nice,Castle of Nice,http://dbpedia.org/resource/Castle_of_Nice,100.0
http://data.linkedevents.org/location/2f46028d-567c-4b0c-998a-0844562c7c41,Cathédrale Saint-Nicolas de Nice,Cathédrale Saint-Nicolas de Nice,"http://dbpedia.org/resource/Russian_Orthodox_Cathedral,_Nice",100.0
http://data.linkedevents.org/location/c815138a-075d-4736-9302-1b6695429470,Château de Nice,Château de Nice,http://dbpedia.org/resource/Castle_of_Nice,100.0
http://data.linkedevents.org/location/7a47c850-88e1-3b25-8ddb-6dcefef9c4c3,Cimetière du Château,Cimetière du Château,http://dbpedia.org/resource/Cimetière_du_Château,100.0
http://data.linkedevents.org/location/transit/Nice/stop/009f7c23-f010-31ff-ab10-c19ed9bd3a58,Falicon,Falicon,http://dbpedia.org/resource/Falicon,100.0
http://data.linkedevents.org/location/ea5a808a-6769-4813-8fc4-650aa0887aeb,Hotel Negresco,Hotel Negresco,http://dbpedia.org/resource/Hotel_Negresco,100.0
http://data.linkedevents.org/location/ff117b4f-bcca-3620-950a-4478b9154697,Jardín Botánico de Niza,Jardín Botánico de Niza,http://dbpedia.org/resource/Jardin_botanique_de_la_Ville_de_Nice,100.0
http://data.linkedevents.org/location/274fc357-6730-4b4f-a779-d2d99845bca0,Musée International d’art Naif Anatole Jakovsky,Musée international d'art naïf Anatole Jakovsky,http://dbpedia.org/resource/Musée_international_d'Art_naïf_Anatole_Jakovsky,100.0
http://data.linkedevents.org/location/1e71ebd3-d495-4c35-88ff-3f749b65263b,Musée Matisse,Musée Matisse,http://dbpedia.org/resource/Musée_Matisse_(Nice),100.0
http://data.linkedevents.org/location/9ff42bb1-0cf8-3cd1-a80b-11b271a115e5,Nellcôte,Nellcôte,http://dbpedia.org/resource/Nellcôte,100.0
http://data.linkedevents.org/location/dcadce63-5660-3fcb-b184-3044a2a40c33,Nice,Nice,http://dbpedia.org/resource/Nice,100.0
http://data.linkedevents.org/location/579aa423-cb1b-3d35-90d5-ef482aa093ad,Nice Lawn Tennis Club,Nice Lawn Tennis Club,http://dbpedia.org/resource/Nice_Lawn_Tennis_Club,100.0
http://data.linkedevents.org/location/0b4e13ed-1681-3a73-b3d0-0b2e0e711ef9,Niza,Niza,http://dbpedia.org/resource/Nice,100.0
http://data.linkedevents.org/location/ca1ecfc9-6d74-327e-a949-060d0a847d10,Observatoire Oceanologique de Villefranche,Observatoire Oceanologique de Villefranche,http://dbpedia.org/resource/Observatoire_Oceanologique_de_Villefranche,100.0
http://data.linkedevents.org/location/759f64c3-8b08-499c-89a2-81db3d2e3b76,Observatoire de Nice,Observatoire de Nice,http://dbpedia.org/resource/Nice_Observatory,100.0
http://data.linkedevents.org/location/37012dce-9584-49c9-af70-68dc192a9ef4,Opéra de Nice,Opéra de Nice,http://dbpedia.org/resource/Opéra_de_Nice,100.0
http://data.linkedevents.org/location/ce05490c-b7eb-3b0f-b8cd-d4439079684f,Opéra de Nice,Opéra de Nice,http://dbpedia.org/resource/Opéra_de_Nice,100.0
http://data.linkedevents.org/location/20a9c6d5-434c-4aa3-a0d6-9e40f090ed8f,Palais Lascaris,Palais Lascaris,http://dbpedia.org/resource/Palais_Lascaris,100.0
http://data.linkedevents.org/location/803dddd2-91ed-3328-84fa-1c87df8ec5e4,Palais Lascaris,Palais Lascaris,http://dbpedia.org/resource/Palais_Lascaris,100.0
http://data.linkedevents.org/location/ff2228b7-e347-43c0-bb7d-501a0171636c,Palais Nikaia,Palais Nikaia,http://dbpedia.org/resource/Palais_Nikaia,100.0
http://data.linkedevents.org/location/81d857b7-9195-4cb0-a0ad-127b9924ee92,Promenade des Anglais,Promenade des Anglais,http://dbpedia.org/resource/Promenade_des_Anglais,100.0
http://data.linkedevents.org/location/e5e52f18-e8c3-3b35-8674-88524b23a10e,"Russian Orthodox Cemetery, Nice","Russian Orthodox Cemetery, Nice","http://dbpedia.org/resource/Russian_Orthodox_Cemetery,_Nice",100.0
http://data.linkedevents.org/location/ffc2adaf-5478-3402-8985-6cd21edd092b,Saint-André-de-la-Roche,Saint-André-de-la-Roche,http://dbpedia.org/resource/Saint-André-de-la-Roche,100.0
http://data.linkedevents.org/location/09d76e37-e222-3951-af84-4102c19fc533,Saint-Laurent-du-Var,Saint-Laurent-du-Var,http://dbpedia.org/resource/Saint-Laurent-du-Var,100.0
http://data.linkedevents.org/location/2e6a7e7a-74c6-3a53-bc3a-b842404d460a,"Sainte Jeanne d'Arc, Nice","Sainte Jeanne d'Arc, Nice","http://dbpedia.org/resource/Sainte_Jeanne_d'Arc,_Nice",100.0
http://data.linkedevents.org/location/8c3490cf-d609-4a96-8b78-542de8aa3754,Stade du Ray,Stade du Ray,http://dbpedia.org/resource/Stade_du_Ray,100.0
http://data.linkedevents.org/location/a7eb8d2a-1424-3750-8772-52fcce6695ce,Stadio Charles Ehrmann,Stadio Charles Ehrmann,http://dbpedia.org/resource/Stade_Charles-Ehrmann,100.0
http://data.linkedevents.org/location/e8eb056b-a24b-36ea-bff3-b7fee89f4c51,Terra Amata (archaeological site),Terra Amata (archaeological site),http://dbpedia.org/resource/Terra_Amata_(archaeological_site),100.0
http://data.linkedevents.org/location/transit/Nice/stop/36a26941-fec4-33dd-afc5-5989d34a9d15,Villa Arson,Villa Arson,http://dbpedia.org/resource/Villa_Arson,100.0
http://data.linkedevents.org/location/e924c2b4-fd26-3610-a746-6dcc73cd68c1,Villa Leopolda,Villa Leopolda,http://dbpedia.org/resource/Villa_Leopolda,100.0
http://data.linkedevents.org/location/0cac804e-4909-3326-83a6-c24757325011,Villefranche-sur-Mer,Villefranche-sur-Mer,http://dbpedia.org/resource/Villefranche-sur-Mer,100.0
http://data.linkedevents.org/location/c827deef-47f2-369a-8f3a-59a4f76a3dc4,Villefranche-sur-Mer,Villefranche-sur-Mer,http://dbpedia.org/resource/Villefranche-sur-Mer,100.0
http://data.linkedevents.org/location/e5a7b599-f1a3-34c3-aa96-b8976fde65e2,Ницца,Ницца,http://dbpedia.org/resource/Nice,100.0
http://data.linkedevents.org/location/01efe89a-f3c9-3941-a431-1e2167a3c1c6,ملعب تشارلز-أرمان,ملعب تشارلز-أرمان,http://dbpedia.org/resource/Stade_Charles-Ehrmann,100.0
http://data.linkedevents.org/location/25cf9930-650e-41c8-9e7f-987666e2f721,Musée d'art moderne et d'art contemprorain,Musée d'Art Moderne et d'Art Contemporain,http://dbpedia.org/resource/Musée_d'art_moderne_et_d'art_contemporain,98.6
http://data.linkedevents.org/location/c19f553c-06cd-3dee-8626-fa4e801fc664,Acropolis,Acropolis (Nice),http://dbpedia.org/resource/Palais_des_Congrès_Acropolis,98.0
http://data.linkedevents.org/location/transit/Nice/stop/05786200-7110-395b-a2a1-43e450bf2ca6,Acropolis,Acropolis (Nice),http://dbpedia.org/resource/Palais_des_Congrès_Acropolis,98.0
http://data.linkedevents.org/location/19a7b596-f6eb-3161-88a5-b54fe7640876,Magnan,Magnan (Nice),http://dbpedia.org/resource/Magnan_(river),97.4
http://data.linkedevents.org/location/3951c4aa-c112-3891-938e-1277e023228f,Magnan,Magnan (Nice),http://dbpedia.org/resource/Magnan_(river),97.4
http://data.linkedevents.org/location/e4a459b4-83b7-3000-bfc4-bd2f97a6b812,Magnan,Magnan (Nice),http://dbpedia.org/resource/Magnan_(river),97.4
http://data.linkedevents.org/location/transit/Nice/stop/16c1c30f-db7d-36d3-bb9c-e3494fbc52bc,Magnan,Magnan (Nice),http://dbpedia.org/resource/Magnan_(river),97.4
http://data.linkedevents.org/location/25d5106a-2606-483f-be18-a6f7aefcad62,Stade Allianz Riviera,Allianz Riviera,http://dbpedia.org/resource/Allianz_Riviera,96.4
http://data.linkedevents.org/location/b5183cee-7d9a-3085-825f-ace9c1522f04,Museo Marc-Chagall,Musée Marc Chagall,http://dbpedia.org/resource/Musée_Marc_Chagall,96.0
http://data.linkedevents.org/location/be084093-7487-4c11-aad0-0abaaa298ca6,Stade Charles ehhmann,Stade Charles-Ehrmann,http://dbpedia.org/resource/Stade_Charles-Ehrmann,96.0
http://data.linkedevents.org/location/transit/Nice/stop/50f0da64-0b1a-38d5-8a23-ce6c3603ead3,Jean Médecin,Avenue Jean-Médecin,http://dbpedia.org/resource/Avenue_Jean_Médecin,95.6
http://data.linkedevents.org/location/transit/Nice/stop/7babce14-b6cc-31c1-b286-1cacd0a2fe7c,Arènes / Musée Matisse,Musée Matisse (Nice),http://dbpedia.org/resource/Musée_Matisse_(Nice),95.2
http://data.linkedevents.org/location/a98a064b-1b7a-462d-b8df-3dfcc05a7c67,Théâtre de verdure,Théâtre de verdure de Nice,http://dbpedia.org/resource/Théâtre_de_verdure_de_Nice,95.2
http://data.linkedevents.org/location/7456938c-522d-3db3-b7c3-9b2bc69da5e9,Villa Nellcote,Nellcôte,http://dbpedia.org/resource/Nellcôte,95.2
http://data.linkedevents.org/location/2e361e60-56e1-3321-82d4-0b42b51559b3,Villefance-sur-Mer,Villefranche-sur-Mer,http://dbpedia.org/resource/Villefranche-sur-Mer,95.0
